k,threshold
10,1.6

index,timeSec,lof,isOutlier
0,0,0.954208,0
1,15,0.928894,0
2,30,1.0507,0
3,45,1.00421,0
4,60,1.19775,0
5,75,1.2788,0
6,90,1.08081,0
7,105,1.00744,0
8,120,1.37734,0
9,135,1.08895,0
10,150,1.01448,0
11,165,0.999733,0
12,180,1.08047,0
13,195,1.08287,0
14,210,1.04933,0
15,225,0.962761,0
16,240,0.96432,0
17,255,1.20425,0
18,270,0.932584,0
19,285,10.0592,1
20,300,8.95865,1
21,315,0.968145,0
22,330,0.927622,0
23,345,1.842,1
24,360,1.64031,1
25,375,1.0361,0
26,390,0.955421,0
27,405,1.95025,1
28,420,0.952651,0
29,435,1.00084,0
30,450,1.5049,0
31,465,0.97485,0
32,480,0.993318,0
33,495,0.987661,0
34,510,1.03723,0
35,525,0.964646,0
36,540,1.85996,1
37,555,1.03024,0
38,570,1.01273,0
39,585,0.986519,0
