index,timeSec,x,y,cluster,isLogo
0,0,0.172265,-0.0537271,0,1
1,15,0.198322,-0.0591513,0,1
2,30,0.146261,-0.0448637,0,1
3,45,0.224456,-0.068776,0,1
4,60,0.109507,-0.0334838,0,1
5,75,0.0996891,-0.0311446,0,1
6,90,0.130634,-0.043325,0,1
7,105,0.224649,-0.070279,0,1
8,120,0.285356,-0.0883971,0,1
9,135,0.249099,-0.0773614,0,1
10,150,0.148989,-0.0463186,0,1
11,165,0.223272,-0.0688321,0,1
12,180,0.244993,-0.0765024,0,1
13,195,0.130526,-0.0368669,0,1
14,210,0.147551,-0.0452615,0,1
15,225,0.16917,-0.050375,0,1
16,240,0.21168,-0.0645778,0,1
17,255,0.271803,-0.0840747,0,1
18,270,0.195024,-0.058139,0,1
19,285,-0.61726,-0.689184,-1,0
20,300,-0.556388,-0.579222,-1,0
21,315,-0.214741,0.127422,0,1
22,330,0.187264,-0.048589,0,1
23,345,0.0252883,-9.84669e-05,-1,0
24,360,-0.074605,0.123461,-1,0
25,375,-0.2421,0.180371,0,1
26,390,0.222548,-0.0479328,0,1
27,405,0.0332479,0.0602702,-1,0
28,420,-0.219447,0.125265,0,1
29,435,-0.184697,0.20405,0,1
30,450,-0.121019,0.114985,0,1
31,465,-0.236901,0.229505,0,1
32,480,-0.194059,0.191084,0,1
33,495,-0.233341,0.154784,0,1
34,510,-0.243757,0.178588,0,1
35,525,-0.262134,0.213725,0,1
36,540,0.0581799,0.0491677,-1,0
37,555,-0.25321,0.178123,0,1
38,570,-0.230711,0.181579,0,1
39,585,-0.225405,0.154105,0,1
